Entity,Code,Year,Droughts,Floods,Earthquakes,Storms,Extreme temperatures,Volcanoes,Wildfires,Glacial lake outbursts,Mass movement (dry),Mass movement (wet)
Portugal,PRT,1964,,,0,,,,,,,
Portugal,PRT,1966,,,,,,,0,,,
Portugal,PRT,1967,,0.049978286,,,,,,,,
Portugal,PRT,1969,,,0,,,,,,,
Portugal,PRT,1973,,,,0,,,,,,
Portugal,PRT,1979,,0.12057325,,,,,,,,
Portugal,PRT,1980,,,0.015199176,,,,,,,
Portugal,PRT,1981,,0,,,,,,,,
Portugal,PRT,1983,0.3487563,0.3487563,,,,,0,,,
Portugal,PRT,1985,,,,,,,0.35034913,,,
Portugal,PRT,1986,,,,,,,0,,,
Portugal,PRT,1989,,,,0,,,,,,
Portugal,PRT,1991,,,,,,,0,,,
Portugal,PRT,1996,,0.010600987,,0.053820398,,,,,,
Portugal,PRT,1997,0.008545801,,,0.021364503,,,,,,0.013929655
Portugal,PRT,1998,,,0.05808966,,,,,,,
Portugal,PRT,2000,,,,0,,,,,,
Portugal,PRT,2001,,0,,,,,0,,,
Portugal,PRT,2002,,0,,,,,,,,
Portugal,PRT,2003,,0,,,0,,1.0470496,,,
Portugal,PRT,2004,0.17700769,,,,,,0,,,
Portugal,PRT,2005,0.5084387,,,,0,,0.83648545,,,
Portugal,PRT,2006,,0,,,0,,,,,
Portugal,PRT,2008,,0,,,,,,,,
Portugal,PRT,2009,,,,,0,,,,,
Portugal,PRT,2010,,0.566171,,0.1132342,0,,,,,
Portugal,PRT,2013,,,,0,,,0,,,
Portugal,PRT,2014,,,,0,,,,,,
Portugal,PRT,2016,,,,,,,0.07610076,,,
Portugal,PRT,2017,,,,,,,0.3314272,,,
Portugal,PRT,2018,,,,0.04770896,0,,0,,,
Portugal,PRT,2019,,,,0,,,,,,
Portugal,PRT,2022,0,,,,0,,0,,,
Portugal,PRT,2023,0,,,,0,,0,,,
Portugal,PRT,2024,,,,,0,,0.16845743,,,