Region,Year,Yearly average
Africa,1975,23.463053416666668
Africa,1976,23.532816666666665
Africa,1977,23.945950166666666
Africa,1978,23.778324916666666
Africa,1979,23.850431166666667
Africa,1980,23.9488585
Africa,1981,23.884946333333332
Africa,1982,23.750565583333337
Africa,1983,24.194694333333334
Africa,1984,24.054319333333336
Africa,1985,23.78649675
Africa,1986,23.965822666666668
Africa,1987,24.623272749999998
Africa,1988,24.222592333333335
Africa,1989,23.930649583333334
Africa,1990,24.360352666666667
Africa,1991,24.2127255
Africa,1992,24.106242750000003
Africa,1993,24.20815075
Africa,1994,24.19417925
Africa,1995,24.30834
Africa,1996,24.161283333333333
Africa,1997,24.281287333333335
Africa,1998,24.880561666666665
Africa,1999,24.093037083333332
Africa,2000,24.01948825
Africa,2001,24.137933041666667
Africa,2002,24.53074375
Africa,2003,24.65750625
Africa,2004,24.534246666666665
Africa,2005,24.804143999999997
Africa,2006,24.687246416666667
Africa,2007,24.613012916666666
Africa,2008,24.48536891666667
Africa,2009,24.81816458333333
Africa,2010,25.12109925
Africa,2011,24.704729166666667
Africa,2012,24.69841108333333
Africa,2013,24.83187008333333
Africa,2014,24.8178805
Africa,2015,24.934456
Africa,2016,25.168312166666666
Africa,2017,25.062563666666666
Africa,2018,25.03398891666667
Africa,2019,25.20046191666667
Africa,2020,25.273505416666666
Africa,2021,25.14313866666667
Africa,2022,24.918281333333336
Africa,2023,25.21341525
Africa,2024,25.561415999999998
Antarctica,1975,1.1314595475
Antarctica,1976,1.0745086731666667
Antarctica,1977,1.4345092756666666
Antarctica,1978,1.5682449433333332
Antarctica,1979,1.8531011008333333
Antarctica,1980,1.6423339849999998
Antarctica,1981,1.7230300780833332
Antarctica,1982,1.9429499358333333
Antarctica,1983,1.6425221766666667
Antarctica,1984,1.3384246765
Antarctica,1985,1.3650639828333333
Antarctica,1986,1.4499079333333331
Antarctica,1987,1.7000935766666665
Antarctica,1988,1.3835118558333332
Antarctica,1989,1.3641077659166667
Antarctica,1990,1.4518839549999998
Antarctica,1991,1.5869038966666666
Antarctica,1992,1.6107584633333334
Antarctica,1993,1.4822514949166665
Antarctica,1994,1.2812270979166667
Antarctica,1995,1.400146494583333
Antarctica,1996,1.1403961275
Antarctica,1997,1.8252385466666665
Antarctica,1998,1.8219808104166668
Antarctica,1999,1.3326212575
Antarctica,2000,1.3359324099999998
Antarctica,2001,1.6154607283333335
Antarctica,2002,1.5791905660833334
Antarctica,2003,1.8468704249999999
Antarctica,2004,1.6723607408333334
Antarctica,2005,1.3488642331666665
Antarctica,2006,1.381696074
Antarctica,2007,1.2489166208333333
Antarctica,2008,1.6588745116666666
Antarctica,2009,1.4845123283333332
Antarctica,2010,1.7860895958333334
Antarctica,2011,1.6383717875
Antarctica,2012,2.009017941666667
Antarctica,2013,1.7049891058333333
Antarctica,2014,1.1175206566666667
Antarctica,2015,1.4574864716666667
Antarctica,2016,1.9880600041666667
Antarctica,2017,2.2596461291666667
Antarctica,2018,2.0415573008333334
Antarctica,2019,1.9557774833333335
Antarctica,2020,1.8763020816666665
Antarctica,2021,1.8140843775000002
Antarctica,2022,1.7515691083333333
Antarctica,2023,2.2373657325000003
Antarctica,2024,1.9856389375
Asia,1975,19.15759183333333
Asia,1976,19.171090916666667
Asia,1977,19.40455425
Asia,1978,19.579714625
Asia,1979,19.867361416666665
Asia,1980,19.475029083333332
Asia,1981,19.24002858333333
Asia,1982,18.65515866666667
Asia,1983,18.521835541666665
Asia,1984,19.105971916666665
Asia,1985,19.497785166666667
Asia,1986,19.332704
Asia,1987,19.260654
Asia,1988,19.429927583333335
Asia,1989,19.271478916666666
Asia,1990,19.4417985
Asia,1991,19.38736833333333
Asia,1992,18.441008166666666
Asia,1993,19.451965416666667
Asia,1994,19.980300291666666
Asia,1995,19.567993333333334
Asia,1996,20.005788833333334
Asia,1997,19.503407958333334
Asia,1998,20.573798
Asia,1999,20.565909875
Asia,2000,19.944695416666665
Asia,2001,20.574695000000002
Asia,2002,20.460177666666667
Asia,2003,20.22862125
Asia,2004,20.1248865
Asia,2005,19.925687083333333
Asia,2006,19.815978958333332
Asia,2007,20.21650358333333
Asia,2008,20.4925785
Asia,2009,20.642539833333334
Asia,2010,21.94503825
Asia,2011,20.035153166666667
Asia,2012,20.682047916666665
Asia,2013,20.47764625
Asia,2014,20.553382
Asia,2015,20.519608833333333
Asia,2016,21.023206458333334
Asia,2017,20.691937333333332
Asia,2018,21.5112175
Asia,2019,20.739998166666666
Asia,2020,21.028465583333332
Asia,2021,21.314742666666664
Asia,2022,20.676638333333333
Asia,2023,21.404332416666666
Asia,2024,21.325184083333333
Europe,1975,9.1688805
Europe,1976,8.235614576666666
Europe,1977,8.871464408333333
Europe,1978,8.201432753333334
Europe,1979,8.202191250833334
Europe,1980,8.0510357475
Europe,1981,8.45918573
Europe,1982,9.052725308333333
Europe,1983,9.043893341666667
Europe,1984,8.539885653333334
Europe,1985,7.745101424999999
Europe,1986,8.0453932
Europe,1987,8.053851241666667
Europe,1988,9.074051316666667
Europe,1989,9.598313806666667
Europe,1990,9.586451566666666
Europe,1991,8.533720338333334
Europe,1992,9.311393133333334
Europe,1993,8.782339075000001
Europe,1994,9.750026553333333
Europe,1995,9.243558558333334
Europe,1996,8.428752393333333
Europe,1997,8.936277483333333
Europe,1998,9.152915683333333
Europe,1999,9.673144241666668
Europe,2000,9.801621535833334
Europe,2001,9.438338116666667
Europe,2002,9.89972325
Europe,2003,9.539576958333333
Europe,2004,9.276515258333333
Europe,2005,9.144754130833332
Europe,2006,9.698983916666666
Europe,2007,10.137576606666666
Europe,2008,9.681993516666667
Europe,2009,9.594074336666667
Europe,2010,8.6894898125
Europe,2011,9.875453083333333
Europe,2012,9.454516466666666
Europe,2013,9.478972166666667
Europe,2014,10.468689866666667
Europe,2015,10.070581875
Europe,2016,9.678044708333333
Europe,2017,9.901361416666667
Europe,2018,10.249727958333333
Europe,2019,10.41699645
Europe,2020,10.558412725
Europe,2021,9.571001608333333
Europe,2022,10.615905341666666
Europe,2023,10.869058966666666
Europe,2024,10.937722345
North America,1975,24.731575333333335
North America,1976,24.68251508333333
North America,1977,24.90595875
North America,1978,24.746344500000003
North America,1979,24.73924225
North America,1980,25.05064775
North America,1981,24.650498916666667
North America,1982,24.97738683333333
North America,1983,25.177594916666667
North America,1984,24.679607083333334
North America,1985,24.703325250000002
North America,1986,24.660360833333332
North America,1987,25.151389249999998
North America,1988,25.091644000000002
North America,1989,24.84455791666667
North America,1990,25.07225325
North America,1991,25.24922583333333
North America,1992,25.03850375
North America,1993,25.06844225
North America,1994,25.211718833333332
North America,1995,25.350920000000002
North America,1996,24.85293125
North America,1997,25.27088433333333
North America,1998,25.612076666666667
North America,1999,24.705871333333334
North America,2000,24.78371325
North America,2001,25.074530333333332
North America,2002,25.445798999999997
North America,2003,25.503705416666666
North America,2004,25.174104
North America,2005,25.28447608333333
North America,2006,25.389505666666665
North America,2007,25.448810416666664
North America,2008,25.18641725
North America,2009,25.374090833333337
North America,2010,25.228498083333335
North America,2011,25.253984666666668
North America,2012,25.265981083333333
North America,2013,25.506084416666667
North America,2014,25.583236666666668
North America,2015,25.881329833333336
North America,2016,25.728143333333332
North America,2017,25.586433416666665
North America,2018,25.48465358333333
North America,2019,25.916497833333334
North America,2020,25.862964416666667
North America,2021,25.6004275
North America,2022,25.396169333333333
North America,2023,26.176663333333334
North America,2024,26.18532875
Oceania,1975,24.443386999999998
Oceania,1976,24.297326875000003
Oceania,1977,24.031951291666665
Oceania,1978,24.175373875
Oceania,1979,24.165291583333335
Oceania,1980,24.34550629166667
Oceania,1981,24.2074095
Oceania,1982,24.205404416666667
Oceania,1983,24.42854858333333
Oceania,1984,24.521636458333333
Oceania,1985,24.439978666666665
Oceania,1986,24.199543374999998
Oceania,1987,24.0765405
Oceania,1988,24.803344666666668
Oceania,1989,24.550628458333335
Oceania,1990,24.557623083333333
Oceania,1991,24.477434333333335
Oceania,1992,24.33126216666667
Oceania,1993,24.066477791666667
Oceania,1994,24.013189041666664
Oceania,1995,24.582119624999997
Oceania,1996,24.735148875
Oceania,1997,24.204352916666668
Oceania,1998,24.741880666666667
Oceania,1999,24.757648416666665
Oceania,2000,24.690448916666668
Oceania,2001,24.69567225
Oceania,2002,24.759893416666667
Oceania,2003,24.584606625
Oceania,2004,24.63856954166667
Oceania,2005,24.667131333333337
Oceania,2006,24.575139541666665
Oceania,2007,25.094125875000003
Oceania,2008,24.7304575
Oceania,2009,24.467702458333335
Oceania,2010,25.058768375
Oceania,2011,24.758921416666666
Oceania,2012,24.605595416666667
Oceania,2013,24.834212625
Oceania,2014,24.635526291666665
Oceania,2015,24.451543958333332
Oceania,2016,25.06043775
Oceania,2017,25.008782625000002
Oceania,2018,24.813154958333335
Oceania,2019,24.885820958333333
Oceania,2020,25.153357541666665
Oceania,2021,25.127745291666663
Oceania,2022,25.012563416666666
Oceania,2023,24.963755125
Oceania,2024,25.339723208333332
South America,1975,19.445840708333336
South America,1976,19.538498708333332
South America,1977,20.159286875
South America,1978,20.176840583333334
South America,1979,20.103810958333334
South America,1980,20.241238833333334
South America,1981,20.036627583333335
South America,1982,20.2144435
South America,1983,20.365252458333334
South America,1984,19.72822125
South America,1985,19.645926083333332
South America,1986,19.792590708333336
South America,1987,20.343740958333335
South America,1988,20.004111791666666
South America,1989,19.80435625
South America,1990,19.992752
South America,1991,20.223035958333334
South America,1992,19.992565833333334
South America,1993,20.099864708333335
South America,1994,20.289631625
South America,1995,20.232804083333335
South America,1996,19.740095916666668
South America,1997,20.385200041666664
South America,1998,20.403457708333335
South America,1999,19.629666458333332
South America,2000,19.682944875
South America,2001,19.902821333333335
South America,2002,20.29302775
South America,2003,20.073419458333333
South America,2004,20.272313666666665
South America,2005,20.453812666666664
South America,2006,20.581352041666666
South America,2007,20.437852833333334
South America,2008,20.36395
South America,2009,20.653393916666666
South America,2010,20.883673
South America,2011,20.653028666666664
South America,2012,20.631098333333334
South America,2013,20.500751625
South America,2014,20.70390675
South America,2015,21.201992666666666
South America,2016,21.067458875
South America,2017,20.909117541666667
South America,2018,20.586593708333332
South America,2019,20.994733583333336
South America,2020,21.18053875
South America,2021,20.726497291666668
South America,2022,20.632339
South America,2023,21.59805658333333
South America,2024,21.687675875
