Region,Year,Yearly anomaly average
Africa,1975,-1.2072313658333333
Africa,1976,-1.22898435
Africa,1977,-0.8720809750000001
Africa,1978,-0.8637684158333334
Africa,1979,-0.6281318591666666
Africa,1980,-0.5552186958333333
Africa,1981,-0.7379860891666666
Africa,1982,-0.8422306216666667
Africa,1983,-0.40585724633333325
Africa,1984,-0.6878933891666666
Africa,1985,-0.7480788158333334
Africa,1986,-0.7225286275
Africa,1987,-0.04012981916666668
Africa,1988,-0.3506399761666667
Africa,1989,-0.68521944
Africa,1990,-0.191786129
Africa,1991,-0.5121960691666666
Africa,1992,-0.6930775625000001
Africa,1993,-0.4062474569166667
Africa,1994,-0.5117719958333333
Africa,1995,-0.25713062187499997
Africa,1996,-0.38553524125
Africa,1997,-0.36097574208333333
Africa,1998,0.09914286883333333
Africa,1999,-0.2745647444166666
Africa,2000,-0.48393534866666665
Africa,2001,-0.17089541883333334
Africa,2002,-0.037161193749999995
Africa,2003,0.05319865483333334
Africa,2004,-0.0771417625
Africa,2005,0.25292603124999996
Africa,2006,-0.08255688591666667
Africa,2007,-0.016413371083333333
Africa,2008,-0.13692585658333334
Africa,2009,0.19671026883333334
Africa,2010,0.6802298325000001
Africa,2011,-0.07747141503333334
Africa,2012,0.0004282019999999904
Africa,2013,0.2125740043333333
Africa,2014,0.22633902025
Africa,2015,0.3537777233333333
Africa,2016,0.6955812675
Africa,2017,0.34845336591666665
Africa,2018,0.3857345545
Africa,2019,0.5170809441666667
Africa,2020,0.46182774725000003
Africa,2021,0.5974137029166666
Africa,2022,0.27907896162499995
Africa,2023,0.8098395808333332
Africa,2024,1.05290525
Asia,1975,-0.6859866210833334
Asia,1976,-1.4634877699999997
Asia,1977,-1.0813745993333332
Asia,1978,-0.8132753616666667
Asia,1979,-0.9565791116666668
Asia,1980,-0.8267861950000001
Asia,1981,-0.5290278441666667
Asia,1982,-0.9589782833333333
Asia,1983,-0.48636495583333333
Asia,1984,-1.2378887316666667
Asia,1985,-1.0069385816666665
Asia,1986,-0.815762345
Asia,1987,-1.0000970958333333
Asia,1988,-0.3542803299999999
Asia,1989,-0.5221287316666667
Asia,1990,-0.22061719133333335
Asia,1991,-0.45212845
Asia,1992,-0.9586110066666667
Asia,1993,-0.7324899378833334
Asia,1994,-0.4967378683333334
Asia,1995,0.05295558491666669
Asia,1996,-0.7276498787499999
Asia,1997,-0.314489628
Asia,1998,-0.2221109893333333
Asia,1999,-0.22327127525000004
Asia,2000,-0.4531570280833333
Asia,2001,-0.13833638791666664
Asia,2002,0.09004318866666666
Asia,2003,-0.04708460500000001
Asia,2004,-0.07010131008333334
Asia,2005,0.08011646075000002
Asia,2006,-0.05615175966666672
Asia,2007,0.5533105650000001
Asia,2008,0.18008932508333333
Asia,2009,-0.10900965958333332
Asia,2010,0.05547749666666666
Asia,2011,0.017597280166666666
Asia,2012,-0.1605730164166667
Asia,2013,0.18535933366666665
Asia,2014,0.05031246708333336
Asia,2015,0.5956431325
Asia,2016,0.6278352425000001
Asia,2017,0.686505285
Asia,2018,0.36076100975000003
Asia,2019,0.6442593083333333
Asia,2020,0.9816399733333334
Asia,2021,0.4882479241666666
Asia,2022,0.7105830058333332
Asia,2023,0.8710367149999999
Asia,2024,1.0688159466666667
Europe,1975,-0.13956649804166668
Europe,1976,-1.8249044041666664
Europe,1977,-1.0521319066666663
Europe,1978,-1.9654055941666664
Europe,1979,-1.3497667425
Europe,1980,-1.697310116666667
Europe,1981,-0.560075726
Europe,1982,-0.7903284583333333
Europe,1983,-0.27739191124999996
Europe,1984,-0.9118404991666668
Europe,1985,-1.9892624133333336
Europe,1986,-1.3296479786666666
Europe,1987,-2.037397168333333
Europe,1988,-0.69730531675
Europe,1989,0.33183207983333335
Europe,1990,0.05748627833333336
Europe,1991,-0.5623478891666666
Europe,1992,-0.6174437362499999
Europe,1993,-1.1575417783333333
Europe,1994,-0.5393967770833333
Europe,1995,0.09504966833333328
Europe,1996,-1.1156780991666666
Europe,1997,-0.7812519361666667
Europe,1998,-0.8804139108333334
Europe,1999,-0.1413544316666667
Europe,2000,0.3769447858333333
Europe,2001,-0.3354152925
Europe,2002,-0.1625924279666666
Europe,2003,-0.17454691916666673
Europe,2004,-0.11888731066666662
Europe,2005,0.09276086258333334
Europe,2006,-0.11582841916666671
Europe,2007,0.5557552669666667
Europe,2008,0.4980872158333333
Europe,2009,-0.00905474575
Europe,2010,-0.4413760466666665
Europe,2011,0.23774875250000005
Europe,2012,-0.0018508908333333407
Europe,2013,0.2844744828333334
Europe,2014,0.49312622449999993
Europe,2015,0.8456508496666667
Europe,2016,0.6055362633333334
Europe,2017,0.4087322066666667
Europe,2018,0.51597513875
Europe,2019,0.779918489
Europe,2020,1.3652230483333332
Europe,2021,0.08730251499999997
Europe,2022,0.9246687708333332
Europe,2023,1.1284146508333335
Europe,2024,1.3947885366666668
North America,1975,-1.2401133658333332
North America,1976,-1.0231633653333334
North America,1977,-0.34590689333333335
North America,1978,-1.1993049108333333
North America,1979,-1.0972217649999998
North America,1980,-0.5297067181666667
North America,1981,0.1999825700833333
North America,1982,-1.4691005133333332
North America,1983,-0.9604899647499999
North America,1984,-0.9046214333333333
North America,1985,-0.987795828
North America,1986,-0.6642687533333332
North America,1987,0.046629166
North America,1988,-0.39915960933333333
North America,1989,-1.0139270966666667
North America,1990,-0.702089612
North America,1991,-0.46360017408333337
North America,1992,-1.0226675808333334
North America,1993,-0.7737019366666668
North America,1994,-0.46518973466666674
North America,1995,-0.34629672224999997
North America,1996,-0.8268910258333332
North America,1997,-0.528087667
North America,1998,0.6330538591666667
North America,1999,0.001249666666666686
North America,2000,-0.24073591625
North America,2001,0.22731268291666665
North America,2002,-0.20011530916666673
North America,2003,0.05862615941666668
North America,2004,-0.4937516066666667
North America,2005,0.4296756108333333
North America,2006,0.7503854188333333
North America,2007,-0.019647766249999976
North America,2008,-0.43824658916666664
North America,2009,-0.32519612083333327
North America,2010,0.9803606258333333
North America,2011,0.07192714191666667
North America,2012,0.7329129566666667
North America,2013,-0.29873473766666664
North America,2014,-0.18136100125
North America,2015,0.28928808975000003
North America,2016,1.1108765516666668
North America,2017,0.6296553666666668
North America,2018,0.00045890266333333446
North America,2019,0.30935045583333337
North America,2020,0.39908534383333333
North America,2021,0.8023958833333332
North America,2022,0.27326521583333335
North America,2023,1.227899145
North America,2024,1.3965107241666666
Oceania,1975,-0.22508302916666664
Oceania,1976,-0.7442378141666666
Oceania,1977,-0.8063544399166666
Oceania,1978,-0.06969102521666667
Oceania,1979,-0.23501229275000002
Oceania,1980,-0.3110472340441666
Oceania,1981,0.04954004385833333
Oceania,1982,-0.5279072196666666
Oceania,1983,-0.49711846583333325
Oceania,1984,0.019059500000000007
Oceania,1985,-0.04293123958333333
Oceania,1986,-0.09865228333333335
Oceania,1987,-0.09761269916666665
Oceania,1988,0.1600222610833333
Oceania,1989,0.08314522
Oceania,1990,0.16710289408333334
Oceania,1991,-0.4022498888750001
Oceania,1992,-0.8707289600000001
Oceania,1993,-0.6551610563333333
Oceania,1994,-0.4668715795
Oceania,1995,-0.15439685191666666
Oceania,1996,-0.22865128308333335
Oceania,1997,-0.4844073433333333
Oceania,1998,0.44315107116666663
Oceania,1999,0.26321371125
Oceania,2000,-0.02303457383333335
Oceania,2001,0.03638521849999999
Oceania,2002,-0.0868478575
Oceania,2003,-0.11748767250000001
Oceania,2004,-0.43388374999999996
Oceania,2005,0.2887341957833333
Oceania,2006,-0.30532860666666667
Oceania,2007,0.07556255275000001
Oceania,2008,0.051926054416666645
Oceania,2009,-0.32322788275
Oceania,2010,0.3150213524166667
Oceania,2011,0.09641432400000001
Oceania,2012,-0.18965172750000003
Oceania,2013,0.4203009598333334
Oceania,2014,0.08679724108333335
Oceania,2015,-0.010677255583333331
Oceania,2016,0.6065892308333334
Oceania,2017,0.44381475374999996
Oceania,2018,0.5206797958333333
Oceania,2019,0.5436869467833333
Oceania,2020,0.5603352366666666
Oceania,2021,0.6397791666666667
Oceania,2022,0.8896303925
Oceania,2023,0.6301194033333334
Oceania,2024,0.5358030866666668
South America,1975,-0.907286165
South America,1976,-0.972445815
South America,1977,-0.43808269333333333
South America,1978,-0.5362097433333334
South America,1979,-0.5385219286666667
South America,1980,-0.36018419583333333
South America,1981,-0.49200662
South America,1982,-0.4052783660833333
South America,1983,-0.21711762625
South America,1984,-0.7330344491666666
South America,1985,-0.6625278783333334
South America,1986,-0.5507958791666666
South America,1987,-0.10457976866666667
South America,1988,-0.4186043710833333
South America,1989,-0.5665381758333333
South America,1990,-0.3627500561666667
South America,1991,-0.40337753249999997
South America,1992,-0.5465626733333334
South America,1993,-0.3677283916666667
South America,1994,-0.18673833358333333
South America,1995,-0.17363484475
South America,1996,-0.4196762983333333
South America,1997,-0.03655480999999997
South America,1998,0.22493791575000002
South America,1999,-0.45282761
South America,2000,-0.5853246058333333
South America,2001,-0.2291994091666667
South America,2002,0.01784674308333334
South America,2003,-9.536724999999191e-05
South America,2004,-0.07030486991666667
South America,2005,0.07827567958333335
South America,2006,0.06115039166666666
South America,2007,-0.057347295500000006
South America,2008,-0.09627930166666666
South America,2009,0.12610117552000003
South America,2010,0.22407261316666668
South America,2011,-0.04052289316666667
South America,2012,0.203172367
South America,2013,0.11879872933333335
South America,2014,0.21604712741666665
South America,2015,0.6068100875
South America,2016,0.44934081841666673
South America,2017,0.3745609925
South America,2018,0.10679499041666668
South America,2019,0.4566556591666666
South America,2020,0.40160624283333335
South America,2021,0.13419246608333332
South America,2022,-0.08628066641666667
South America,2023,0.7307354514166665
South America,2024,0.8733255053333334
